timestamp,tweet_text,username,all_hashtags,followers_count
2020-11-10 12:53:44,"b'""That\'s No Way To Negotiate! - Common Negotiation Mistakes And What You Can Do To Avoid Them"" #ebook https://t.co/kO0JwqwyYJ #negotiation #conflict #strategy #tactical #Management #selfhelp #winning #iwin @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning', 'iwin']",55297
2020-11-10 12:53:10,"b'\xe2\x80\x9cNegotiation Tactics - Levers, Guns &amp; Sanctions: Pre Negotiation Moves to Bring Reluctant Parties to Collaboration\xe2\x80\x9d #ebook https://t.co/cLoSq1on0A #negotiation #conflict #strategy #tactical #Management #selfhelp #winning #iwin @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning', 'iwin']",55297
2020-11-10 12:52:58,"b'""The I Win Negotiation &amp; Conflict Approach: Compromise Less And Win More with A Better Alternative To The Win-Win Approach"" #ebook  https://t.co/cjUQeJuUy3 #negotiation #conflict #strategy #tactical #Management #selfhelp #winning #iwin @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning', 'iwin']",55297
2020-11-10 12:52:46,"b'""Negotiation Manipulation Moves: Smart And Acceptable Manipulation Tactics You Can Employ To Turn The Negotiation Odds In Your Favor"" #ebook  https://t.co/AyhhfkOVwm #negotiation #conflict #strategy #tactical #Management #selfhelp #winning @Asaf_Shani'",b'Asaf_Shani',"['ebook', 'negotiation', 'conflict', 'strategy', 'tactical', 'Management', 'selfhelp', 'winning']",55297
2020-11-10 12:52:35,b'\xe2\x80\x9cKid-Friendly Ways to Change Behavior - Fun Conflict Management Tactics for Parents\xe2\x80\x9d https://t.co/UUWFoDW0LL #ebook #conflict #parenting #Parents #education #fun #Selfesteem @Asaf_Shani',b'Asaf_Shani',"['ebook', 'conflict', 'parenting', 'Parents', 'education', 'fun', 'Selfesteem']",55297
2020-11-10 12:33:37,b'\xe2\x80\x9cWhen Buried Anger Leads to Depression &amp; How To Heal\xe2\x80\x9d #anger #gratitude #guilt #emotions #depression #thechangetriangle #ambivalence #emotionalhealth #conflict  https://t.co/ItUToXNfTX',b'HilaryJHendel',"['anger', 'gratitude', 'guilt', 'emotions', 'depression', 'thechangetriangle', 'ambivalence', 'emotionalhealth', 'conflict']",8937
2020-11-10 12:30:16,"b""#ManagementTip: As a new or future #manager it's important to remember what truly #motivates #people; it's not always about #money: https://t.co/1mR4RvZvuy #development #motivation #delegation #assertive #conflict #feelings #emotions #communication #learning #bethebestyoucanbe https://t.co/ktt1lFmFEe""",b'TargetTrgAssoc',"['ManagementTip', 'manager', 'motivates', 'people', 'money', 'development', 'motivation', 'delegation', 'assertive', 'conflict', 'feelings', 'emotions', 'communication', 'learning', 'bethebestyoucanbe']",1444
2020-11-10 12:25:13,"b""We've been talking about #contact theory, in terms of how #prejudice and #conflict between groups declines when members of different faith and #belief groups interact with one other, and how non-faith/faith communities might facilitate more contact and exchange.  #FaithBelief2040""",b'CumberlandLodge',"['contact', 'prejudice', 'conflict', 'belief', 'FaithBelief2040']",4175
2020-11-10 12:16:23,"b'\xf0\x9f\x94\x9cHappening TOMORROW\xe2\x9a\xa0\xef\xb8\x8f #FSCluster global #partners mtg &amp;\xf0\x9f\x94\x9fyr anniversary!\xf0\x9f\xa5\xb3   Join us on Zoom to discuss #foodsecurity coordination, #COVID19,#conflict,#climatechange &amp;much more \xf0\x9f\x91\x87 \xf0\x9f\x97\x93\xef\xb8\x8f11&amp;12 Nov \xe2\x8f\xb0 1-4pm CET \xe2\x9c\x85REGISTER: https://t.co/VmTeygG6QJ   #InvestInHumanity #FSCluster10years https://t.co/uE1TnIrIP8'",b'FSCluster',"['FSCluster', 'partners', 'foodsecurity', 'COVID19', 'conflict', 'climatechange', 'InvestInHumanity', 'FSCluster10years']",3933
2020-11-10 12:12:20,b'#Conflict Mismanagement: Jilted Wife eats $7000 https://t.co/ELMqUdI7Qw #divorce',b'ksgrossman',"['Conflict', 'divorce']",1580
2020-11-10 12:04:45,"b'@cher Why are you getting all worked up? Look at the photo. Your people are leaving the #conflict zone while in their cars and warmth, with their stuff packed. My people, #Azerbaijani people, were forced to flee unexpectedly, during the night, barely dressed in the freezing cold...'",b'iamjahan84',"['conflict', 'Azerbaijani']",91
2020-11-10 12:00:10,b'South-West Leaders Call For Security Overhauling @THISDAYLIVE: https://t.co/AkBpVU84Gr #Nigeria #conflict #EndSARS #governance #conflict #humanrights https://t.co/Ax0J1dPzrv',b'allafrica',"['Nigeria', 'conflict', 'EndSARS', 'governance', 'conflict', 'humanrights']",424417
2020-11-10 10:02:15,"b""@HMaksak  on the #EU's role in #conflict resolution in the Eastern Partnership #EaP @eapcsf @EaPCivilSociety https://t.co/VF1okwW9YW""",b'prismUA',"['EU', 'conflict', 'EaP']",945
2020-11-10 09:47:02,"b""How to manage the 'R number' for conflict at work: https://t.co/JrxNDqrZlD #conflict #HR https://t.co/Juv7WW1Urs""",b'HRZone',"['conflict', 'HR']",77650
2020-11-10 09:26:17,"b""Trees Vs Peat? As usual it's just not that simple; bad practice creates conflict and people take sides, whilst landscapes insist on being much more 'blurry' I'd like to understand this better if anyone has links/refs/books?  #trees #peat #landscape #conflict #WhatIsForest https://t.co/B8bVrvbrjT""",b'missjsknight',"['trees', 'peat', 'landscape', 'conflict', 'WhatIsForest']",335
2020-11-10 08:21:00,b'Last week we talked to Louisa Weinstein about conflicts. I can really recommend her book 7 Principles of Conflict Resolution. It provides you with concrete tools to resolve or mediate difficult conversations and conflict situations.   #change #conflict #individualchange',b'MortenKamp',"['change', 'conflict', 'individualchange']",1482
2020-11-10 08:12:03,b'@MaryJoe38642126 @Rep_Watkins @HouseCommerce @HouseAgGOP Please #Cosponsor #HR961 #SafeAct Horses have been #loyal #ally to Man from the beginning of time through #conflict &amp; #wartime Part of our Police Force Used in #therapy BUT they were never meant to be food What a #tragic #betrayal to such a #majestic animal #FriendsNotFood',b'LJPattin1',"['Cosponsor', 'HR961', 'SafeAct', 'loyal', 'ally', 'conflict', 'wartime', 'therapy', 'tragic', 'betrayal', 'majestic', 'FriendsNotFood']",227
2020-11-10 08:10:30,b'@MaryJoe38642126 @RepVanTaylor @HouseCommerce @HouseAgGOP Please #Cosponsor #HR961 #SafeAct Horses have been #loyal #ally to Man from the beginning of time through #conflict &amp; #wartime Part of our Police Force Used in #therapy BUT they were never meant to be food What a #tragic #betrayal to such a #majestic animal #FriendsNotFood',b'LJPattin1',"['Cosponsor', 'HR961', 'SafeAct', 'loyal', 'ally', 'conflict', 'wartime', 'therapy', 'tragic', 'betrayal', 'majestic', 'FriendsNotFood']",227
2020-11-10 08:09:08,b'@MaryJoe38642126 @RepTimmons @HouseCommerce @HouseAgGOP Please #Cosponsor #HR961 #SafeAct Horses have been #loyal #ally to Man from the beginning of time through #conflict &amp; #wartime Part of our Police Force Used in #therapy BUT they were never meant to be food What a #tragic #betrayal to such a #majestic animal #FriendsNotFood',b'LJPattin1',"['Cosponsor', 'HR961', 'SafeAct', 'loyal', 'ally', 'conflict', 'wartime', 'therapy', 'tragic', 'betrayal', 'majestic', 'FriendsNotFood']",227
2020-11-10 08:08:24,b'@MaryJoe38642126 @RepGregSteube @HouseCommerce @HouseAgGOP Please #Cosponsor #HR961 #SafeAct Horses have been #loyal #ally to Man from the beginning of time through #conflict &amp; #wartime Part of our Police Force Used in #therapy BUT they were never meant to be food What a #tragic #betrayal to such a #majestic animal #FriendsNotFood',b'LJPattin1',"['Cosponsor', 'HR961', 'SafeAct', 'loyal', 'ally', 'conflict', 'wartime', 'therapy', 'tragic', 'betrayal', 'majestic', 'FriendsNotFood']",227
2020-11-10 08:07:04,b'@MaryJoe38642126 @RepBryanSteil @HouseCommerce @HouseAgGOP Please #Cosponsor #HR961 #SafeAct Horses have been #loyal #ally to Man from the beginning of time through #conflict &amp; #wartime Part of our Police Force Used in #therapy BUT they were never meant to be food What a #tragic #betrayal to such a #majestic animal #FriendsNotFood',b'LJPattin1',"['Cosponsor', 'HR961', 'SafeAct', 'loyal', 'ally', 'conflict', 'wartime', 'therapy', 'tragic', 'betrayal', 'majestic', 'FriendsNotFood']",227
